id,category,item,value,unit,source,page,confidence,system,part,applies,note
SP-285,Charging,Replacement SMP JX106,"alternator brush; crosses 817324522, MD602783, MD607373",,S-073,Alternator / Generator Brush,secondary,electrical,PT270,,
SP-286,Charging,Rear bracket heating to free the rear bearing,"200 W iron on the bearing box 3-4 min, to 50-60 C (122-144 F)",C,S-002,"p.5-12, 5-18",primary,electrical,PT273,other-car,
SP-287,Electrical,"Starter lock test (A/T, 1982)","4.0 V, less than 1100 A, 31 N-m (22.4 ft-lb)",,S-038,T:3,primary,electrical,PT026,,"1982 figure; SP-069 is the 1980 value (5.0 V, 1050 A). M/T: 5.0 V, under 600 A, 9.6 N-m."
SP-288,Electrical,"Starter free-running test (A/T, 1982)","11.5 V, less than 100 A, more than 3500 rpm",,S-038,T:3,primary,electrical,PT026,,Confirms the 1985 figure in SP-068 for this year.
SP-289,Electrical,Number of brushes (A/T),4,,S-038,T:3,primary,electrical,PT026,,"M/T: 3. Brush length 17 mm, wear limit 11.5 mm as SP-071."
SP-290,Electrical,Starter brush spring tension (A/T),14-26 (49-92 oz),N,S-038,T:3,primary,electrical,PT026,,
SP-291,Electrical,Commutator mica undercut,0.5-0.8 (0.020-0.031 in),mm,S-038,T:3,primary,electrical,PT026,,
SP-292,Electrical,Armature shaft to bush clearance,less than 0.2 (0.008 in),mm,S-038,T:3,secondary,electrical,PT026,,"The A/T column prints '0 mm (0.008 in)', read as a misprint of the M/T 'less than 0.2 mm (0.008 in)'."
SP-293,Electrical,Armature shaft end play,0.1-0.5 (0.004-0.02 in),mm,S-038,T:3,primary,electrical,PT026,,
SP-294,Electrical,Pinion to stop-collar clearance (pinion gap),0.5-2.0 (0.020-0.079 in),mm,S-038,T:3,primary,electrical,PT026,,Set with washers between the magnetic switch and the front bracket; more washers = smaller gap (S-002 p.5-22).
SP-295,Electrical,Commutator outer diameter limit (1985 FSM),31 (1.22 in) or less = replace armature,mm,S-002,p.5-26,primary,electrical,PT026,other-car,
SP-296,Electrical,Commutator runout limit (1985 FSM),0.05 (0.002 in),mm,S-002,p.5-26,primary,electrical,PT026,other-car,
SP-297,Electrical,"Replacement Pure Energy / Remy / TerrePower 16717 (reman, A/T)","interchange N20218400, N20218400A, N20218400B, Mitsubishi M2T50581",,S-073,Starter Motor,secondary,electrical,PT026,,
SP-298,Electrical,Voltage required to close solenoid contacts,less than 8,V,S-038,T:3,primary,electrical,PT275,,1982 confirmation of SP-070 (1980).
SP-299,Electrical,Magnetic switch tests (1980 FSM),"pull-in: 12 V across S and M pulls the plunger; hold-in: with M grounded and S at 12 V, the plunger stays in when the M lead is removed; return: 12 V across M and body, plunger pushed in by hand, is not pulled",,S-045,80RX7_5 p.5:9,primary,electrical,PT275,other-car,
SP-300,Electrical,On-car check at S terminal while cranking,8 V or more at S with no action = starter fault; under 8 V = wiring fault,V,S-002,p.5-20,primary,electrical,PT275,other-car,A hot switch may not work even at 8 V or more.
SP-301,Electrical,Replacement SMP SS298 / Wells 1M1169,"3-terminal starter solenoid; interchange 887224736, 175724760, MD602074",,S-073,Starter Solenoid,secondary,electrical,PT275,,"Listed for the A/T, and for the M/T to 10/1981."
SP-302,Electrical,Number of brushes (A/T starter),4,,S-038,T:3,primary,electrical,PT278,,M/T starter has 3
SP-303,Electrical,"Brush length, standard (A/T starter)",17,mm,S-038,T:3,primary,electrical,PT278,,0.67 in; S-002 p.5-3 and p.5-27 (1985) give the same
SP-304,Electrical,"Brush spring tension, standard",14-26,N,S-038,T:3,primary,electrical,PT278,,"49-92 oz; S-002 p.5-27 (1985) gives 1.4-2.6 kg for a new brush, measured when the spring leaves the brush"
SP-305,Electrical,"Brush spring force, replace at or below",0.9,kg,S-002,5-27,primary,electrical,PT278,other-car,31.75 oz; 1985 manual only; measure with a spring balance at the moment the spring leaves the brush
SP-306,Electrical,Brush holder insulation test,no continuity between insulated brush holder and plate,,S-002,5-27,primary,electrical,PT278,other-car,1985 manual; brush must also slide freely in its holder
SP-307,Electrical,Mica undercut depth,0.5-0.8,mm,S-038,T:3,primary,electrical,PT277,,0.020-0.031 in; S-002 p.5-3/5-26 (1985) same; 1985 says undercut when the mica depth has fallen to 0.2 mm or less
SP-308,Electrical,Armature shaft end play,0.1-0.5,mm,S-038,T:3,primary,electrical,PT277,,"0.004-0.02 in, both transmissions"
SP-309,Electrical,Commutator runout limit,0.05,mm,S-002,5-26,primary,electrical,PT277,other-car,"0.002 in; at or above this, skim on a lathe or replace; check with the armature on V blocks, bearings without play; 1985 manual"
SP-310,Electrical,"Commutator outer diameter, replace at or below",31,mm,S-002,5-26,primary,electrical,PT277,other-car,"1.22 in; 1985 manual, the text does not say which starter type it applies to"
SP-311,Electrical,Armature coil ground test,no continuity between commutator and core,,S-002,5-25,primary,electrical,PT277,other-car,1985 manual; replace the armature if there is continuity
SP-312,Electrical,"Clearance between armature shaft and bush, limit",0.2,mm,S-038,T:3,unverified,electrical,PT286,,"M/T column reads less than 0.2 mm (0.008 in); in the A/T column the scan shows '0 mm (0.008 in)', and 0.2 is read from the inch figure; confirm on a clean copy"
SP-313,Electrical,Armature bearings (reduction starter),ball bearing at each end of armature,,S-002,"5-24, 5-28, 5-29",primary,electrical,PT286,other-car,1985 reduction starter; grease both at assembly; confirm on the car
SP-314,Electrical,Pinion gap (pinion to stop collar),0.5-2.0,mm,S-038,T:3,primary,electrical,PT282,,"0.020-0.079 in; S-002 p.5-3/5-30 (1985) same. Measure with the pinion shifted out by 12 V on S (no more than 20 s); shims between the solenoid and the front bracket set it, and more shims make the gap smaller"
SP-315,Electrical,"Pinion shaft thrust gap (axial play), max",0.5,mm,S-002,5-29,primary,electrical,PT283,other-car,"0.02 in; 1985 reduction starter; set with the adjusting washer under the centre bracket C washer, centre bracket bolt tight"
SP-316,Electrical,Overrunning clutch check,"turns freely one way, locks the other",,S-002,5-28,primary,electrical,PT283,other-car,"1985 manual; if it turns both ways or runs rough, replace the pinion shaft assembly"
SP-317,Electrical,Assembly lubrication,grease armature shaft gear and reduction gear,,S-002,5-29,primary,electrical,PT284,other-car,1985 manual; the lubricant grade is not given
SP-318,Electrical,Assembly lubrication,grease lever sliding part; slight film on the plunger,,S-002,5-29,primary,electrical,PT285,other-car,1985 manual; the lever must face the correct way
SP-319,Electrical,Field coil open-circuit test,continuity between field connector and brush,,S-002,5-26,primary,electrical,PT276,other-car,1985 manual; replace the yoke assembly if open
SP-320,Electrical,Field coil ground test,no continuity between field connector and yoke,,S-002,5-27,primary,electrical,PT276,other-car,1985 manual; also replace the yoke if the field coil or core is loose
SP-321,Electrical,"Battery type, automatic transmission except California (1982 FSM)",NS70S,,S-038,T:3 (PDF p.5),primary,electrical,PT024,,"Same table: California G60-5 or Y60-5; manual except California G60-5, Y60-5 or NS70S. Agrees with the 1980 figure in SP-061 and the brochure SP-059."
SP-322,Electrical,"Battery capacity, NS70S (20-hour rate, 1982 FSM)",55,Ah,S-038,T:3 (PDF p.5),primary,electrical,PT024,,G60-5 / Y60-5: 45 Ah.
SP-323,Electrical,Battery voltage and terminal ground (1982 FSM),12,V,S-038,T:3 (PDF p.5),primary,electrical,PT024,,Negative ground.
SP-324,Electrical,"Specific gravity at 20 C, fully charged, NS70S",1.280,,S-038,T:3 (PDF p.5),primary,electrical,PT024,,G60-5 / Y60-5: 1.260.
SP-325,Electrical,"Specific gravity at 20 C, recharge at, NS70S",1.220,,S-038,T:3 (PDF p.5),primary,electrical,PT024,,G60-5 / Y60-5: 1.200.
SP-326,Electrical,"Quick charge rate (battery out, vent caps off)",6-20,A,S-002,5-5,primary,electrical,PT024,other-car,"1985 FSM: 6 A or above, max 20 A. Slow charge (caps may stay on): under 5 A. No 1982 figure found."
SP-327,Electrical,Specific gravity vs charge (1985 FSM table),1.280 = 100 %; 1.220 = 75 % (65D23L 1.230),,S-002,5-5,primary,electrical,PT024,other-car,1985 JIS batteries; the 1.280 full-charge figure matches the 1982 NS70S value.
SP-328,Electrical,Replacement Supercharge NS70: overall length,259,mm,S-078,1,secondary,electrical,PT024,,"Width 173 mm, case height 202 mm, total height 223 mm. Datasheet of a modern sealed JIS NS70, not the 1982 battery; measure the tray, confirm."
SP-329,Electrical,Replacement Supercharge NS70: width,173,mm,S-078,1,secondary,electrical,PT024,,
SP-330,Electrical,Replacement Supercharge NS70: total height,223,mm,S-078,1,secondary,electrical,PT024,,Case height 202 mm.
SP-331,Electrical,Replacement Supercharge NS70: cold cranking amps,615,A,S-078,1,secondary,electrical,PT024,,"70 Ah (20 h), reserve capacity 95 min, weight 17.29 kg."
SP-332,Electrical,Replacement Supercharge NS70: capacity (20-hour),70,Ah,S-078,1,secondary,electrical,PT024,,
SP-333,Electrical,"Replacement Supercharge NS70: terminal post bottom diameter, positive / negative",19.5 / 17.9,mm,S-078,1,secondary,electrical,PT024,,"SAE taper 1:9, post height 18.5 +/- 1.5 mm, polarity layout D (positive left). Charging max 14.8 V, float 13.5-13.8 V at 25 C."
SP-334,Body,Clamp nut (catalogue hardware code),999400602,,S-005,"EC p.61, fig 1850A-1",primary,electrical,PT288,,"Printed on the figure at the clamp bar; size not given, confirm on the car."
SP-335,Body,Carrier mounting bolt (catalogue hardware code),997960612,,S-005,"EC p.61, fig 1850A-1",primary,electrical,PT288,,"Printed on the figure at the carrier 53260; quantity not given, confirm on the car."
SP-336,Electrical,Cable clip fasteners (catalogue hardware codes),992761410; 992891053; 997860612,,S-005,"EC p.61, fig 1850A-1",primary,electrical,PT289,,"Printed beside clips 67290 / 67293 and the cable run; which fastener holds which clip is not legible, confirm on the car. 999400600 is also shown at clip 67290."
SP-337,Electrical,"Positive cable identification (1985 GS, forum)","solid black, with a branch to the fusible link box",,S-080,,unverified,electrical,PT289,other-car,Owner report on a 1985 GS; the negative there is black with a yellow tracer. Confirm on the car before disconnecting.
SP-338,Electrical,Disconnect / reconnect order,negative cable removed first and installed last,,S-002,5-5,primary,electrical,PT290,other-car,1985 FSM warning; the 1980 FSM (S-045 sec.5 p.5:2) also says disconnect the negative cable before removing the alternator.
SP-339,Electrical,Ground X-13 locations,LH front suspension tower; under dashboard LH,,S-001,30,primary,electrical,PT027,,two B eyelets on one node; confirm on the car
SP-340,Electrical,"X-01 front to engine harness connector, cavities",22,count,S-001,30,primary,electrical,PT027,,"3+5+3 per row, two rows; confirm on the car"
SP-341,Electrical,"X-02 front to in-panel harness connector, cavities",22,count,S-001,30,primary,electrical,PT027,,"3+5+3 per row, two rows; confirm on the car"
SP-342,Electrical,"X-03 front to rear harness connector, cavities",22,count,S-001,30,primary,electrical,PT027,,"3+5+3 per row, two rows; confirm on the car"
SP-343,Electrical,Fusible link conductor size,0.3,mm2,S-001,30,primary,electrical,PT316,,"X-07 block, both brown links; the 1985 manual p15-13 gives the same sizes for 12A cars"
SP-344,Electrical,Insulation colour,brown,,S-001,30,primary,electrical,PT316,,catalogue S-005 BI-107 agrees
SP-345,Electrical,Circuits protected,retractable headlight motor; headlights,,S-001,30,primary,electrical,PT316,,block labels RETRACTOR and HEAD(LIGHT); 1985 p15-13 says RETRACTOR 0.3sq and HEADLIGHT 0.3sq
SP-346,Electrical,Catalogue rating as printed,10M OHM,,S-005,BI-107,primary,electrical,PT316,,printed as '(10M OHM)'; meaning unclear
SP-347,Electrical,Location,"front LH suspension tower, link block",,S-002,15-13,primary,electrical,PT316,other-car,1985 12A cars; S-001 X-07 only labels it 'FROM BATTERY'
SP-348,Electrical,Fusible link conductor size,1.25,mm2,S-001,"10, 30",primary,electrical,PT317,,MAIN; 1985 manual p15-13 gives the same
SP-349,Electrical,Insulation colour,black,,S-001,30,primary,electrical,PT317,,catalogue S-005 BI-107 agrees
SP-350,Electrical,Catalogue rating as printed,7M OHM,,S-005,BI-107,primary,electrical,PT317,,printed as '(7M OHM)'; meaning unclear
SP-351,Electrical,Location,"front LH suspension tower, link block",,S-002,15-13,primary,electrical,PT317,other-car,1985 12A cars
SP-352,Electrical,Fuse positions in use,15,count,S-001,30,primary,electrical,PT310,,"7 x 10 A, 4 x 15 A, 3 x 20 A, 1 x 30 A; the catalogue's '82 fuse quantities (8/5/4/1) are one more of each of 10, 15 and 20 A, which suggests spares"
SP-353,Electrical,Spare fuse positions (1985 block),4,count,S-002,15-13,primary,electrical,PT310,other-car,"1985 block drawing labels four positions 'Spare' (two in the centre column, one on each side)"
SP-354,Electrical,Location,under dash LH,,S-005,BI-107 (fig 6700A-1),primary,electrical,PT310,,figure draws it below the LH dash; confirm on the car
SP-355,Electrical,Rating,10,A,S-005,BI-107,primary,electrical,PT312,,
SP-356,Electrical,Positions on the '82 fuse block,7,count,S-001,30,primary,electrical,PT312,,"outputs: LB, L (ACC); Br, BLg (IG via BW); WG, R (battery); GY (IG via BY)"
SP-357,Electrical,Rating,15,A,S-005,BI-107,primary,electrical,PT313,,
SP-358,Electrical,Positions on the '82 fuse block,4,count,S-001,30,primary,electrical,PT313,,"outputs: Y (ACC); GW, LY (battery); BW (IG via BY)"
SP-359,Electrical,Rating,20,A,S-005,BI-107,primary,electrical,PT314,,
SP-360,Electrical,Positions on the '82 fuse block,3,count,S-001,30,primary,electrical,PT314,,"outputs: LO, LR (ACC); LR (battery)"
SP-361,Electrical,Rating,30,A,S-005,BI-107,primary,electrical,PT315,,
SP-362,Electrical,Positions on the '82 fuse block,1,count,S-001,30,primary,electrical,PT315,,outputs: BL (IG via BW) power windows
SP-363,Electrical,Contact type,"normally open, single",,S-001,22,primary,electrical,PT300,,
SP-364,Electrical,Supply fuse,15,A,S-001,"22, 30",primary,electrical,PT300,,"WR -> 15 A -> GW, shared with stop lamps"
SP-365,Electrical,Location,under dash LH beside the CPU,,S-005,BI-101 (fig 6630A-1),primary,electrical,PT300,,the 1985 manual p15-11 agrees; confirm on the car
SP-366,Electrical,Supply fuse (radio/antenna),20,A,S-001,24,primary,electrical,PT307,,accessory-side 20 A -> LR; 1985 p15-75 also calls it the radio or antenna fuse (20 A)
SP-367,Electrical,"Continuity, relay terminals a-c at rest",yes,,S-002,15-75,primary,electrical,PT307,other-car,1985 relay; a-c corresponds to LR-R on the 1982 connector if the pin layout is the same - confirm
SP-368,Electrical,"Continuity, relay terminals e-g at rest",yes,,S-002,15-75,primary,electrical,PT307,other-car,corresponds to LY-B on the 1982 connector - confirm
SP-369,Electrical,"Coil continuity, meter (-) on b, (+) on h",yes,,S-002,15-75,primary,electrical,PT307,other-car,"diode in series with the coil, so the check is polarity-dependent; b/h correspond to LG/LR on the 1982 connector - confirm"
SP-370,Electrical,Harness check: L to ground,"battery voltage with radio ON, key at ACC",,S-002,15-75,primary,electrical,PT307,other-car,
SP-371,Electrical,Harness check: R to ground,"battery voltage with radio OFF, key at ACC",,S-002,15-75,primary,electrical,PT307,other-car,
SP-372,Electrical,"Motor test: + on L, - on R",mast UP,,S-002,15-75,primary,electrical,PT307,other-car,
SP-373,Electrical,"Motor test: + on R, - on LY",mast DOWN,,S-002,15-75,primary,electrical,PT307,other-car,
SP-374,Electrical,Connector cavities,8,count,S-001,24,primary,electrical,PT307,,"7 used, 1 not used; confirm on the car"
SP-375,Electrical,Location,under dash LH beside the horn relay and CPU,,S-002,15-11,primary,electrical,PT307,other-car,
SP-376,Electrical,Identity,hot start relay (3-point relay),,S-083,,secondary,electrical,PT308,replaced,seller listing; the catalogue location agrees; confirm on the car
SP-377,Electrical,Contact type,"normally open, single",,S-001,10,primary,electrical,PT308,replaced,A-03 hot start relay
SP-378,Electrical,Connector cavities,6,count,S-001,10,primary,electrical,PT308,replaced,4 used; confirm on the car
SP-379,Electrical,Location,LH front engine bay beside the choke & check relay,,S-005,BI-101 (fig 6630A-1),primary,electrical,PT308,replaced,1985 p15-11 shows the 12A hot start relay in the same place; confirm on the car
SP-380,Electrical,Fusible link conductor size,0.5,mm2,S-001,10,primary,electrical,PT322,,"A-02 fusible link, printed '0.5sq'; confirm on the car"
SP-381,Electrical,Fusible link colour code,G (green),,S-001,10,primary,electrical,PT322,,printed '(G)' on the A-02 connector detail; confirm on the car
SP-382,Electrical,Connector X-01 (front to engine harness) cavities,22,count,S-001,30,primary,electrical,PT321,,"two rows of 3+5+3; 20 wired, 2 unused (dot view); confirm on the car"
SP-383,Electrical,Connector X-03 (front to rear harness) cavities,22,count,S-001,30,primary,electrical,PT318,,"two rows of 3+5+3; 21 wired, 1 unused; confirm on the car"
SP-384,Electrical,Connector X-02 (front to inpane harness) cavities,22,count,S-001,30,primary,electrical,PT325,,"two rows of 3+5+3, all 22 wired; confirm on the car"
SP-385,Electrical,Connector X-12 (front to inpane harness) cavities,10,count,S-001,30,primary,electrical,PT325,,"2 rows of 5, plus a separate 2-pin connector (RL, GL); confirm on the car"
SP-386,Electrical,Connector X-10 (to transmission harness) cavities,6,count,S-001,30,primary,electrical,PT323,,"A/T version; plus X-17, two 1-pin connectors (BL, BY); confirm on the car"
SP-387,Brakes,"Level sensor continuity, float below MIN",continuity,,S-002,15-24,primary,electrical,PT562,other-car,1985 workshop manual Section 15; no 1982 figure found
SP-388,Brakes,"Level sensor continuity, float above MAX",none,,S-002,15-24,primary,electrical,PT562,other-car,1985 workshop manual Section 15
SP-389,Brakes,Warning circuit test,jumper BR to B with the engine running and parking brake released: BRAKE lamp lights,,S-002,15-24,primary,electrical,PT562,other-car,1985 workshop manual Section 15
SP-390,Electrical,Warning lamp it lights (brake warning light),1.4,W,S-001,16,primary,electrical,PT562,,Section C; shared with parking brake switch C-04 and brake warning light checker C-03
SP-391,Electrical,"Warning circuit feed fuse (meter, GY)",10,A,S-001,16,primary,electrical,PT562,,"IG BY through X-04 10 A to GY, then the lamp to BR"
SP-392,Electrical,"Circuit fuse (DEFOG, Y wire)",15,A,S-001,24,primary,electrical,PT036,,"X-04 fuse block, ACC side (L feed from the ignition switch ACC terminal) (S-001 p24, p30)"
SP-393,Electrical,Defroster indicator lamp,3.4,W,S-001,24,primary,electrical,PT036,,"Lamp in the combination meter on LG via X-05, not in the switch"
SP-394,Electrical,Relay in circuit,none - switch carries grid current,,S-001,24,primary,electrical,PT036,,
SP-395,Electrical,Switch continuity test,"continuity pressed ON, none OFF",,S-002,15-35,primary,electrical,PT036,other-car,1985 workshop manual
SP-396,Electrical,Replacement Atkins Rotary B001-66-460: availability,"NLA, listed at 45 USD",,S-089,web,secondary,electrical,PT036,,Atkins lists fitment 1981-83
SP-397,Electrical,"Filament centre voltage, switch ON",6,V,S-002,15-35,primary,electrical,PT037,other-car,"Same figure (approx. 6 V) in the 1980 manual S-045 Section 15 p15:5; near 12 V = break on the negative side, near 0 V = break on the positive side"
SP-398,Electrical,Repair paint,Mazda silver paint 2835-77-600,,S-002,15-35,primary,electrical,PT037,other-car,S-045 (1980) p15:5 gives the same part number and names it Dupont No. 4817
SP-399,Electrical,Repair paint drying,"24 h at 20 C, or 30 min at 60 C",,S-002,15-35,primary,electrical,PT037,other-car,also S-045 p15:5
SP-400,Electrical,Circuit fuse,15,A,S-001,24,primary,electrical,PT037,,
SP-401,Electrical,Ground point,X-15 via D-07 (or X-18 without rear wiper),,S-001,24,primary,electrical,PT037,,confirm on the car
SP-402,Electrical,Functions in the unit,"turn/hazard flasher, intermittent wiper relay, lights-off reminder oscillator, ignition switch light timer, buzzer, seat belt timer, noise suppressor",,S-006,24,primary,electrical,PT301,other-car,"1981 training manual; the 1982 wiring diagram S-001 (sections D, F, H) draws the same functions on the one unit X-16"
SP-403,Electrical,Location,"under the dashboard, driver's side",,S-006,24,primary,electrical,PT301,other-car,1981 training manual; rx7club: by the hood release
SP-404,Electrical,Connector,X-16: 17-way plus separate 1-way (GB),,S-001,30,primary,electrical,PT301,,confirm on the car
SP-405,Electrical,Ground check,continuity between B (terminal J) and body,,S-002,15-33,primary,electrical,PT301,other-car,1985 workshop manual
SP-406,Electrical,Turn signal test,battery voltage on GW with turn switch on and IG ON; flashing signal on GB,,S-002,15-32,primary,electrical,PT301,other-car,1985 workshop manual
SP-407,Electrical,Intermittent wiper test,ground LO with IG ON: wiper runs intermittently; else check L and LW voltage,,S-002,15-45,primary,electrical,PT301,other-car,1985 workshop manual
SP-408,Electrical,Seat belt warning lamp on-time,6,s,S-002,15-25,primary,electrical,PT301,other-car,about 6 s; 1985 workshop manual
SP-409,Electrical,Seat belt warning lamp,3.4,W,S-001,26,primary,electrical,PT301,,
SP-410,Electrical,Ignition switch light,3.4,W,S-001,26,primary,electrical,PT301,,timed by the CPU on GL
SP-411,Electrical,Flasher load per side (front 27 W + rear 27 W + indicator 3.4 W),57.4,W,S-001,22,primary,electrical,PT301,,sum of the bulb ratings on the diagram
SP-412,Electrical,"Hazard feed fuse (WG, constant)",10,A,S-001,22,primary,electrical,PT301,,
SP-413,Electrical,"Turn feed fuse (GY, ignition)",10,A,S-001,22,primary,electrical,PT301,,
SP-414,Electrical,"Wiper / INT feed fuse (L, accessory)",10,A,S-001,18,primary,electrical,PT301,,
SP-415,Electrical,Replacement Atkins Rotary FA02-67-577: availability,"out of stock, listed at 199 USD, fitment 1981-85",,S-088,web,secondary,electrical,PT303,,"conflicts with the catalogue, which limits FA02-67-577 to '81 serials to 503735 (S-005 BI-101-11)"
SP-416,Electrical,Connector C-10 cavities used,"6-way: G, YB, LR, YR (two of six cavities not used); B on a separate 1-way",,S-001,16,primary,electrical,PT305,,confirm on the car
SP-417,Electrical,Replacement Atkins Rotary FA30-67-690A: availability,"NLA, listed at 70 USD, fitment 1981-85",,S-087,web,secondary,electrical,PT305,,
SP-418,Electrical,Location,left front fender near the battery,,S-087,web,secondary,electrical,PT305,,the 1985 relay location figure (S-002 p15-11) also shows the oscillator at the left front; confirm
SP-419,Electrical,Wiper switch INT position contacts,AS-SWL and INT-E closed,,S-002,15-15,primary,electrical,PT029,other-car,1985 combination switch table: INT grounds the CPU LO line
SP-420,Electrical,"Horn circuit fuse (HORN STOP, GW)",15,A,S-001,22,primary,electrical,PT473,,shared with stop lights
SP-421,Electrical,Switching,ground-side: contact grounds the horn relay coil,,S-001,22,primary,electrical,PT473,,
SP-422,Electrical,"Meter circuit fuse (X-04, IG side, GY out)",10,A,S-001,16,primary,electrical,PT614,,
SP-423,Electrical,Harness connectors to the cluster,"X-05 and X-06, round 13-cavity with centre key",,S-001,30,primary,electrical,PT614,,cavity count read from the connector face drawing; confirm on the car
SP-424,Electrical,Voltmeter scale,8 to 16,V,S-002,15-18,secondary,electrical,PT614,other-car,"1985 Section 15; the 1982 cluster also has a voltmeter (S-001 p16), scale confirm"
SP-425,Electrical,Voltmeter allowable indication error,2 needle widths,,S-002,15-18,secondary,electrical,PT614,other-car,1985 Section 15
SP-426,Electrical,Gauge test tool (resistance checker),49 0839 285,,S-045,15:6,secondary,electrical,PT614,other-car,1980 Section 15; same tool in 1985 S-002 p15-19
SP-427,Electrical,Tachometer allowable range at 1000 rpm,880 to 1060,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985 Section 15, at 20 C; tester on the ignition coil negative terminal"
SP-428,Electrical,Tachometer allowable range at 2000 rpm,1970 to 2150,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985, at 20 C"
SP-429,Electrical,Tachometer allowable range at 3000 rpm,2964 to 3216,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985, at 20 C"
SP-430,Electrical,Tachometer allowable range at 4000 rpm,3976 to 4264,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985, at 20 C"
SP-431,Electrical,Tachometer allowable range at 5000 rpm,4988 to 5312,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985, at 20 C"
SP-432,Electrical,Tachometer allowable range at 6000 rpm,6000 to 6360,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985, at 20 C"
SP-433,Electrical,Tachometer allowable range at 7000 rpm,6965 to 7455,rpm,S-002,15-18,secondary,electrical,PT620,other-car,"1985, at 20 C"
SP-434,Electrical,Speedometer allowable range at 10 mph,9.0 to 11.5,mph,S-002,15-18,secondary,electrical,PT621,other-car,1985 Section 15
SP-435,Electrical,Speedometer allowable range at 30 mph,27.0 to 34.5,mph,S-002,15-18,secondary,electrical,PT621,other-car,1985 Section 15
SP-436,Electrical,Speedometer allowable range at 60 mph,54.0 to 69.0,mph,S-002,15-18,secondary,electrical,PT621,other-car,1985 Section 15
SP-437,Electrical,Speedometer allowable range at 90 mph,81.0 to 103.5,mph,S-002,15-18,secondary,electrical,PT621,other-car,1985 Section 15
SP-438,Electrical,Fuel gauge test: checker resistance for F,7,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980 Fig 15-19; 1985 S-002 p15-19 gives the same 7 / 32.5 / 95
SP-439,Electrical,Fuel gauge test: checker resistance for 1/2,32.5,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980 and 1985 agree
SP-440,Electrical,Fuel gauge test: checker resistance for E,95,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980 and 1985 agree
SP-441,Electrical,Temperature gauge test: checker resistance at H,16,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980 Fig 15-20; 1985 S-002 p15-20 gives 16.1
SP-442,Electrical,"Temperature gauge test: checker resistance, upper normal mark",21,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980; 1985 gives 21.1
SP-443,Electrical,"Temperature gauge test: checker resistance, lower normal mark",104,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980; 1985 gives 104.1
SP-444,Electrical,Temperature gauge test: checker resistance at C,233,ohm,S-045,15:6,secondary,electrical,PT623,other-car,1980 and 1985 agree
SP-445,Electrical,Gauge settling time before judging,2,min,S-045,15:6,secondary,electrical,PT623,other-car,1980; tolerance about 2 needle widths (1985 says twice the needle width)
SP-446,Lighting,"Factory rating (meter illumination, oil level, high beam, retractor indicators)",3.4,W,S-001,"16, 20",primary,electrical,PT626,,
SP-447,Lighting,Replacement Eiko 194: current at 14 V design voltage,0.27,A,S-093,1,secondary,electrical,PT626,,
SP-448,Lighting,Replacement Eiko 194: base and bulb,"W2.1x9.5d miniature wedge, T3-1/4, C-2F filament",,S-093,1,secondary,electrical,PT626,,
SP-449,Lighting,Replacement Eiko 194: max overall length,26.9,mm,S-093,1,secondary,electrical,PT626,,"MOD 10.2 mm, LCL 14.2 mm"
SP-450,Lighting,Replacement Eiko 194: light output,25,lm,S-093,1,secondary,electrical,PT626,,rated life 2500 h
SP-451,Lighting,"Factory rating (brake, stop light, alternator, coolant level warning lamps)",1.4,W,S-001,16,primary,electrical,PT627,,
SP-452,Lighting,Replacement Eiko 74: current at 14 V design voltage,0.1,A,S-094,1,secondary,electrical,PT627,,
SP-453,Lighting,Replacement Eiko 74: base and bulb,"W2.1x4.9d sub-miniature wedge, T1-3/4, C-2F filament",,S-094,1,secondary,electrical,PT627,,
SP-454,Lighting,Replacement Eiko 74: max overall length,20.3,mm,S-094,1,secondary,electrical,PT627,,"MOD 5.9 mm, LCL 10.2 mm"
SP-455,Lighting,Replacement Eiko 74: light output,8.8,lm,S-094,1,secondary,electrical,PT627,,rated life 1000 h
SP-456,Lighting,"Bulb held (figure callout 75115, Mazda 0000-11-0194, trade 194)",3.4,W,S-005,"BI p49, fig 5540A-1",primary,electrical,PT628,,The figure pairs socket 55261 with bulb 75115; the rows give 75115 = 0000-11-0194 (A12V 3.4W). Confirm on the car which of the cluster positions use this socket.
SP-457,Lighting,Quantity in the cluster,9,pcs,S-005,"BI p49, fig 5540A-1",primary,electrical,PT628,,Matches the 9 bulbs 0000-11-0194 in the same figure.
SP-458,Lighting,Bulb base accepted (from the 194 bulb),T-3 1/4 wedge,,S-095,194 bulb page,secondary,electrical,PT628,,"Derived from the bulb the catalogue fits (194); the 194 is a T-3 1/4 glass wedge, 14 V 0.27 A. Confirm on the car."
