id,part,terminal,function,inside,wire,to,source,page,note,checked
PT671-LG,PT671,LG,coil ground (control),the other end of the relay coil,LG,"via X-02: radio G-04 power switch; via X-11: G-13 power antenna switch to ground (B, X-13)",S-001,24,from S-001; confirm on the car. Coil energises when the radio is on or the antenna switch is closed,
PT671-B,PT671,B,ground,the resting contact of the LY changeover,B,X-13 ground,S-001,24,from S-001; confirm on the car,
PT671-L,PT671,L,mast-up output,energised contact: fed when the coil is on,L,"G-02 motor L, via X-03",S-001,24,"from S-001; relay contact arrangement read from the drawing, function from S-002 p15-75; confirm on the car",
PT671-R,PT671,R,motor common / mast-down feed,changeover: +12 V (LR) when de-energised; return when energised,R,"G-02 motor R, via X-03",S-001,24,from S-001; function from S-002 p15-75; confirm on the car,
PT671-LY,PT671,LY,mast-down return,changeover: to B (ground) when de-energised,LY,"G-02 motor LY, via X-03",S-001,24,from S-001; confirm on the car,
PT668-L,PT668,L,up feed,motor through the up-side limit switch,L,G-01 relay L,S-001,24,"G-02 power antenna motor; from S-001; up = + on L, - on R (S-002 p15-75, 1985); confirm on the car",
PT668-R,PT668,R,motor common,motor armature,R,G-01 relay R,S-001,24,G-02; from S-001; confirm on the car,
PT668-LY,PT668,LY,down return,motor through the down-side limit switch,LY,G-01 relay LY (to ground when relay off),S-001,24,"G-02; from S-001; down = + on R, - on LY (S-002 p15-75, 1985); confirm on the car",
PT678-L,PT678,L,Power feed +12 V (IG),"Common brush of the motor, and the park-position contact of the auto-stop switch",L,Ignition IG via fuse X-04 10 A; also CPU X-16,S-001,18,1980 manual calls it terminal D (S-045 15:4); from S-001; confirm on the car,
PT678-LB,PT678,LB,Auto-stop (park) switch output,"Cam-driven changeover in the gear box: joins LB to B (ground) while the blades are away from park, to L at park (armature brake)",LB,"CPU X-16 intermittent relay, then combination switch D-03 (OFF/INT feed to the LO brush)",S-001,18,switch action read from S-001 drawing and the S-045 15:4 auto-stop test; 1980 terminal B; confirm on the car,
PT678-LW,PT678,LW,LOW speed brush,LO brush,LW,Combination switch D-03 LO (grounded in LO; to LB/CPU in OFF/INT),S-001,18,1980 terminal C; from S-001; confirm on the car,
PT678-LR,PT678,LR,HIGH speed brush,HI brush,LR,Combination switch D-03 HI (grounded in HI),S-001,18,1980 terminal A; from S-001; confirm on the car,
PT678-B,PT678,B,Ground,Auto-stop switch ground contact (motor case),B,Ground X-13,S-001,18,separate 1-pole plug; 1980 terminal E; confirm on the car,
PT688-L,PT688,L,"+12 V feed (ignition, 10 A fuse)",one motor brush (armature +),L,D-07 connector (LB side) - X-03 - LB bus - X-04 10 A fuse - ignition IG,S-001,Section D p18,from S-001; bullet connector at D-05; confirm on the car,
PT688-BG,PT688,BG,switched ground (run),"other motor brush (armature -), also joined to the internal park switch",BG,D-07 - X-03 - X-12 - X-11 - D-06 rear wiper & washer switch (wiper contact) - B - X-11 - X-02 - ground X-13,S-001,Section D p18,from S-001; bullet connector at D-05; confirm on the car,
PT688-GND_park,PT688,GND (park),auto-stop ground,"internal park switch contact, closed except at the park position",,body ground at the motor,S-001,Section D p18,"from S-001, drawn as a ground symbol inside D-05 with no connector pin; how it is grounded (case, eyelet or third lead) - confirm on the car",
PT708-C,PT708,C,battery feed,common contact arm,WR,"X-07 1.25 sq fusible link -> battery +, via X-08",S-001,"10, 26",colour from S-001; letter C from 1980 S-045 Fig 15-32; confirm on the car,
PT708-E,PT708,E,ACC,joined to C in ACC and ON,L,"X-04 10 A (L to front wiper D-02 / CPU), 10 A (LB to rear wiper/washer and front washer), 20 A (LO)",S-001,"18, 26",colour from S-001; letter E from 1980 S-045; confirm on the car,
PT708-D,PT708,D,IG,joined to C in ON and START,BY,X-04 15 A -> BW alternator; X-04 10 A -> GY bus,S-001,"10, 26",S-001 labels IG output BY; 1980 S-045 shows D as BW; confirm on the car,
PT708-A,PT708,A,ST,joined to C in START,BY,X-09 0.5 sq fusible link -> inhibitor switch A-06 -> BW starter,S-001,10,"colour BY after the link from S-001, BY at A per 1980 S-045; confirm on the car",
PT709-G,PT709,G,switched output,closes to LY with key in,G,Control Processing Unit X-16 (key reminder buzzer),S-001,26,from S-001; confirm on the car,
PT709-LY,PT709,LY,supply,,LY,X-04 15 A room fuse (constant),S-001,26,from S-001; confirm on the car,
PT709-3rd,PT709,3rd,not used,,,,S-001,26,marked not used on S-001 connector view; confirm on the car,
PT701-LB,PT701,LB,feed,motor +,LB,X-03 -> X-04 10 A rear wiper/washer fuse (L bus from ACC),S-001,18,from S-001; confirm on the car,
PT701-L,PT701,L,switched ground,motor -,L,X-03 -> X-12 -> X-11 -> LW at rear wiper & washer switch D-06 -> B ground,S-001,18,from S-001; confirm on the car,
PT849-B,PT849,B,ground,,B,X-02 -> X-13 body ground,S-001,26,from S-001; confirm on the car,
PT849-RG,PT849,RG,illumination,display dimming / lamp,RG,light switch E-01 via X-02,S-001,26,from S-001; confirm on the car,
PT849-LY,PT849,LY,memory supply,,LY,X-04 15 A (constant) via X-02,S-001,26,from S-001; confirm on the car,
PT849-GY,PT849,GY,ignition supply,,GY,X-04 10 A IG bus via X-12,S-001,26,from S-001; confirm on the car,
PT816-RB,PT816,RB,switched ground,contact to case/body when hatch open,RB,"luggage compartment light H-11 (5 W, LY feed)",S-001,26,from S-001; confirm on the car,
PT832-BL,PT832,BL,lamp side,,BL,"glove box light H-01 (3.4 W, LO feed)",S-001,26,from S-001; confirm on the car,
PT832-B,PT832,B,ground,ring terminal,B,X-02 -> X-13 body ground,S-001,26,from S-001; confirm on the car,
PT013-T,PT013,T +,Trailing coil (B-18) positive feed,primary winding supply,BW,"Ignition switch IG via BY and the 15 A fuse on X-04, shared BW bus with leading coil, igniters, condenser, emission control unit B and choke & check relay",S-001,PDF p.12-13 (Section B),from S-001; ring terminal on the coil per the B-18 connector view; confirm on the car,
PT013-T_-,PT013,T -,Trailing coil (B-18) negative,"primary winding, switched to ground by the trailing igniter",YG,Igniter (T) B-20; tachometer (Section C); emission control unit terminal A (B-01),S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT013-T_HT,PT013,T HT,Trailing coil high-tension tower,secondary winding output,,Distributor cap centre (trailing) via coil wire,S-001,PDF p.12-13 (Section B),"HT lead, no colour code; from S-001 symbol; confirm on the car",
PT013-L,PT013,L +,Leading coil (B-19) positive feed,primary winding supply,BW,Same BW ignition feed as the trailing coil,S-001,PDF p.12-13 (Section B),from S-001; ring terminal on the coil per the B-19 connector view; confirm on the car,
PT013-L_-,PT013,L -,Leading coil (B-19) negative,"primary winding, switched to ground by the leading igniter",YL,Igniter (L) B-21,S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT013-L_HT,PT013,L HT,Leading coil high-tension tower,secondary winding output,,Distributor cap centre (leading) via coil wire,S-001,PDF p.12-13 (Section B),"HT lead, no colour code; from S-001 symbol; confirm on the car",
PT258-B-20_YG,PT258,B-20 YG,Trailing igniter switched output,switches trailing coil negative to ground on the pick-up signal (inferred from the circuit),YG,Trailing coil (B-18) negative,S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT258-B-20_BW,PT258,B-20 BW,Trailing igniter supply,power supply,BW,Ignition BW feed,S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT258-B-21_YL,PT258,B-21 YL,Leading igniter switched output,switches leading coil negative to ground on the pick-up signal (inferred from the circuit),YL,Leading coil (B-19) negative,S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT258-B-21_BW,PT258,B-21 BW,Leading igniter supply,power supply,BW,Ignition BW feed,S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT258-GND,PT258,GND,Igniter ground,ground,,"Ground (drawn to earth, no colour given)",S-001,PDF p.12-13 (Section B),from S-001; the 1985 check (S-002 p.5-37) also shows a ground terminal; confirm on the car,
PT258-PU,PT258,PU,Pick-up inputs,two leads per pick-up coil into its igniter,,"Pick-up coils (PT256), inside the distributor",S-001,PDF p.12-13 (Section B),"internal, no colour given; from S-001; confirm on the car",
PT256-2_leads_each_coil,PT256,2 leads (each coil),Pick-up coil signal,magnetic pick-up winding,,"Its igniter (trailing B-20 / leading B-21), inside the distributor",S-001,PDF p.12-13 (Section B),"internal, no colour given; from S-001; confirm on the car",
PT261-B-22_BW,PT261,B-22 BW,Condenser lead,capacitor to case,BW,Ignition BW feed (radio-noise suppression),S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT261-case,PT261,case,Condenser case,capacitor other plate,,Ground,S-001,PDF p.12-13 (Section B),from S-001; confirm on the car,
PT034-WG,PT034,WG,"supply, constant",common of the UP pole; joined to R when switch ON/UP,WG,"0.3 sq fusible link (X-07) via X-02, shared with E-01 LIGHT",S-001,PDF p.20,from S-001; confirm on the car; E-02 face top row RW WG LY,
PT034-R,PT034,R,"output, headlights UP",joined to WG when switch ON/UP,R,both retractor motors R (E-03/E-04) via X-02; also fed by E-01 in HEAD,S-001,PDF p.20,from S-001; confirm on the car; E-02 bottom row RY R B,
PT034-RW,PT034,RW,"input, down command source",joined to RY when switch OFF,RW,E-01 combination switch LIGHT section (hot when LIGHT is off) via X-02,S-001,PDF p.20,from S-001; confirm on the car,
PT034-RY,PT034,RY,"output, headlights DOWN",joined to RW when switch OFF,RY,both retractor motors RY (E-03/E-04) via X-02,S-001,PDF p.20,from S-001; confirm on the car,
PT034-LY,PT034,LY,headlight cleaner switch,cleaner switch contact to B,LY,headlight cleaner motor E-11 via X-12,S-001,PDF p.20,from S-001; confirm on the car; cleaner may not be fitted,
PT034-B,PT034,B,ground,other side of the cleaner switch,B,X-02 to ground X-13,S-001,PDF p.20,from S-001; confirm on the car,
PT033-WR,PT033,WR,"motor power, constant",relay normally-open contact to motor,WR,own 0.3 sq fusible link (X-07); both motors joined,S-001,PDF p.20,"from S-001; confirm on the car; E-03 LH and E-04 RH same colours; connector cross-shaped: YG top, WR left, RY right, R bottom",
PT033-R,PT033,R,UP command,"diode to the UP contact of the cam limit switch, then relay coil to ground",R,E-02 R and E-01 R (HEAD),S-001,PDF p.20,from S-001; confirm on the car,
PT033-RY,PT033,RY,DOWN command,"diode to the DOWN contact of the cam limit switch, then relay coil to ground",RY,E-02 RY (from E-01 RW when light off),S-001,PDF p.20,from S-001; confirm on the car,
PT033-YG,PT033,YG,running indicator,motor feed through a diode,YG,"3.4 W retractor indicator lamp in the cluster (X-06), ground X-05/X-13; both motors joined",S-001,PDF p.20,from S-001; confirm on the car,
PT035-RY,PT035,RY,low beam,low beam filament,RY,E-01 DIMMER,S-001,PDF p.20,from S-001; confirm on the car; E-08 LH / E-09 RH; write-up has RL/RY swapped,
PT035-RL,PT035,RL,high beam,high beam filament,RL,E-01 DIMMER and PASSING; also high beam indicator 3.4 W,S-001,PDF p.20,from S-001; confirm on the car,
PT035-B,PT035,B,ground,common of both filaments,B,"X-13 (LH), X-14 (RH)",S-001,PDF p.20,from S-001; confirm on the car,
PT557-GW,PT557,GW,"supply, constant",one side of the pedal contact,GW,15 A STOP/HORN fuse X-04; also horn relay,S-001,PDF p.22,from S-001; confirm on the car,
PT557-W,PT557,W,"output, closed with pedal pressed",other side of the pedal contact,W,F-03 stop light checker W and cruise control unit,S-001,PDF p.22,from S-001; confirm on the car,
PT304-W,PT304,W,input from stop switch,checker sensing path,W,F-11 stop light switch W,S-001,PDF p.22,"from S-001; confirm on the car; F-03 top row W GL, bottom row B G; identity with PT304 inferred",
PT304-G,PT304,G,output to stop lamps,checker sensing path,G,X-03 to rear combination lamps F-07/F-08 27 W filaments,S-001,PDF p.22,from S-001; confirm on the car,
PT304-GL,PT304,GL,warning output,,GL,meter stop light warning (Section C),S-001,PDF p.22,from S-001; confirm on the car,
PT304-B,PT304,B,ground,,B,X-13,S-001,PDF p.22,from S-001; confirm on the car,
PT595-F-05_RG,PT595,F-05 RG,parking lamp feed,1157 low (8 W) filament to B,RG,"combination switch E-01 LIGHT section (tail/marker bus), fuse X-04 10A; LH",S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT595-F-05_GR,PT595,F-05 GR,turn signal feed,1157 high (27 W) filament to B,GR,"combination switch F-02 turn section, flashed by control processing unit X-16; LH",S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT595-F-05_B,PT595,F-05 B,ground,common return of both filaments,B,ground point X-13; LH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT595-F-06_RG,PT595,F-06 RG,parking lamp feed,1157 low (8 W) filament to B,RG,"combination switch E-01 LIGHT section (tail/marker bus), fuse X-04 10A; RH",S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT595-F-06_GO,PT595,F-06 GO,turn signal feed,1157 high (27 W) filament to B,GO,"combination switch F-02 turn section, flashed by control processing unit X-16; RH",S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT595-F-06_B,PT595,F-06 B,ground,common return of both filaments,B,ground point X-14; RH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT598-F-12_RG,PT598,F-12 RG,side marker feed,194 filament (3.8 W) to B,RG,tail/marker bus from E-01 light switch; LH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT598-F-12_B,PT598,F-12 B,ground,filament return,B,joins F-05 ground to X-13; LH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT598-F-13_RG,PT598,F-13 RG,side marker feed,194 filament (3.8 W) to B,RG,tail/marker bus from E-01 light switch; RH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT598-F-13_B,PT598,F-13 B,ground,filament return,B,joins F-06 ground to X-14; RH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-07_GR,PT601,F-07 GR,rear turn,1156 (27 W) turn bulb to B,GR,F-02 turn switch via joint X-03; LH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-07_RW,PT601,F-07 RW,back-up,1156 (27 W) back-up bulb to B,RW,"A/T inhibitor switch A-06 (RY -> RW) via X-10, X-03",S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-07_unused,PT601,F-07 (unused),not used,,,cavity marked not used in S-001 connector view,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-07_G,PT601,F-07 G,stop,27 W filaments of both 1157 bulbs in parallel to B,G,stop light checker F-03 output via X-03 (fed W from stop light switch F-11),S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-07_RG,PT601,F-07 RG,tail,8 W filaments of both 1157 bulbs in parallel to B,RG,tail/marker bus from E-01 light switch via X-03,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-07_B,PT601,F-07 B,ground,common return of all four bulbs,B,ground point X-15,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-08_GO,PT601,F-08 GO,rear turn,1156 (27 W) turn bulb to B,GO,F-02 turn switch via joint X-03; RH,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-08_RW,PT601,F-08 RW,back-up,1156 (27 W) back-up bulb to B,RW,"A/T inhibitor switch A-06 (RY -> RW) via X-10, X-03",S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-08_unused,PT601,F-08 (unused),not used,,,cavity marked not used in S-001 connector view,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-08_G,PT601,F-08 G,stop,27 W filaments of both 1157 bulbs in parallel to B,G,stop light checker F-03 output via X-03 (fed W from stop light switch F-11),S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-08_RG,PT601,F-08 RG,tail,8 W filaments of both 1157 bulbs in parallel to B,RG,tail/marker bus from E-01 light switch via X-03,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT601-F-08_B,PT601,F-08 B,ground,common return of all four bulbs,B,ground point X-15,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT605-F-04_RG,PT605,F-04 RG,license lamp feed,6 W bulb to B (LH and RH lamps in parallel),RG,tail/marker bus from E-01 light switch,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT605-F-04_B,PT605,F-04 B,ground,bulb return,B,ground point X-15,S-001,PDF p22 (Section F schematic and connector views),from S-001; confirm on the car,
PT608-RG,PT608,RG,"lamp feed, tail/park/marker bus",one end of the 3.8 W filament,RG,"E-01 light switch RG output via X-03 (with tail, license, front marker and parking lamps)",S-001,"22 (F-14 LH, F-15 RH)",from S-001; confirm on the car,
PT608-B,PT608,B,ground,other end of the filament,B,ground point X-15,S-001,"22 (F-14, F-15)",from S-001; confirm on the car,
PT611-LY,PT611,LY,constant feed,one end of the 5 W bulb,LY,X-04 15 A fuse (LY interior bus) via X-03,S-001,26 (H-11),from S-001; confirm on the car,
PT611-RB,PT611,RB,switched ground return,other end of the bulb,RB,"H-12 luggage compartment light switch, which closes to ground",S-001,"26 (H-11, H-12)",from S-001; confirm on the car,
PT639-R_2-pin,PT639,R (2-pin),"LIGHT section feed, constant",pole of the LIGHT section that reaches RG in PARK and HEAD,R,X-04 10 A fuse from the WR constant bus,S-001,20 (E-01 connector detail),from S-001; confirm on the car,
PT639-WG_2-pin,PT639,WG (2-pin),headlight feed,"second LIGHT pole, which passes it to the DIMMER/PASSING section in HEAD",WG,0.3 sq fusible link (X-07); same WG to E-02 via X-02,S-001,20,from S-001; confirm on the car,
PT639-RG_6-pin,PT639,RG (6-pin),tail/parking output (PARK and HEAD),LIGHT section output,RG,"E-05 panel light control; via X-02/X-03 tail, parking, side marker, license lamps; H-10 clock",S-001,"20, 22, 26",from S-001; confirm on the car,
PT639-RW_6-pin,PT639,RW (6-pin),HEAD position output,LIGHT section contact,RW,X-02 -> E-02 retractable headlight switch,S-001,20,from S-001; confirm on the car,
PT639-R_6-pin,PT639,R (6-pin),pop-up raise command in HEAD,LIGHT section contact,R,"R bus: E-03/E-04 retractor motors, E-02, E-11 headlight cleaner motor",S-001,20,from S-001; function per S-002 15-29 (1985); confirm on the car,
PT639-RL_6-pin,PT639,RL (6-pin),headlight beam output (DIMMER); passing contact joins this line,DIMMER / PASSING contacts,RL,E-08/E-09 headlights and the 3.4 W high-beam indicator via X-06,S-001,20,"from S-001; the indicator on RL suggests RL = high beam (1985 manual 15-30 also labels RL high), the reverse of the write-up; confirm on the car",
PT639-RY_6-pin,PT639,RY (6-pin),headlight beam output (DIMMER),DIMMER contact,RY,E-08/E-09 headlights,S-001,20,from S-001; 1985 manual 15-30 labels RY low beam; confirm on the car,
PT639-GL_6-pin,PT639,GL (6-pin),horn switch (steering pad contact through the switch),"horn contact, closes to ground",GL,F-16 horn relay coil,S-001,"20, 22",from S-001; confirm on the car,
PT639-WG_F-02,PT639,WG (F-02),"hazard feed, constant",hazard section,WG,X-04 10 A fuse from WR,S-001,22 (F-02 connector detail),from S-001; confirm on the car,
PT639-GY_F-02,PT639,GY (F-02),"turn feed, ignition-switched",turn section,GY,IG -> BY -> X-04 10 A -> GY bus (shared with back-up lights),S-001,22,from S-001; confirm on the car,
PT639-GW_F-02,PT639,GW (F-02),flasher line,hazard/turn section,GW,Control processing unit (flasher) X-16,S-001,22,from S-001; confirm on the car,
PT639-GB_F-02,PT639,GB (F-02),flasher line,hazard/turn section,GB,Control processing unit (flasher) X-16,S-001,22,from S-001; confirm on the car,
PT639-GR_F-02,PT639,GR (F-02),left turn output,"turn section, left",GR,"F-05 front LH, F-07 rear LH, LH indicator",S-001,22,from S-001; confirm on the car,
PT639-GO_F-02,PT639,GO (F-02),right turn output,"turn section, right",GO,"F-06 front RH, F-08 rear RH, RH indicator",S-001,22,from S-001; two further F-02 cavities are marked not used; confirm on the car,
PT833-LO,PT833,LO,"12 V feed, switched by the ignition switch ACC position (not constant)",one end of the 3.4 W filament,LO,"fuse block X-04 20 A fuse, fed L from ignition switch ACC terminal at X-08 (switch fed WR from battery via fusible link X-07)",S-001,PDF p.26,from S-001; confirm on the car,
PT833-BL,PT833,BL,switched ground return,other end of the 3.4 W filament,BL,"H-02 glove box light switch, which closes to B ground at X-13 when the lid opens",S-001,PDF p.26,from S-001; confirm on the car,
PT856-RL,PT856,RL,dimmed illumination feed,one end of the 3.4 W filament,RL,"E-05 instrument panel light control (rheostat) output, fed RG from combination switch E-01 in PARK/HEAD",S-001,PDF p.20,from S-001; confirm on the car,
PT856-B,PT856,B,ground,other end of the 3.4 W filament,B,ground X-13 via X-02,S-001,PDF p.20,from S-001; confirm on the car,
PT958-LY,PT958,LY,constant 12 V feed,"to the spot lamp switch, then the bulb (and in parallel to the interior lamp)",LY,X-04 15 A fuse from WR (battery via fusible link),S-001,PDF p.26 (H-06),Harness connector H-06 is on the mirror assembly PT957. From S-001; confirm on the car,
PT958-GND,PT958,GND,ground,bulb return to the lamp case,,body ground through the mirror mounting (drawn as case ground),S-001,PDF p.26 (H-06),No ground wire drawn; from S-001; confirm on the car,
PT961-RY,PT961,RY,door switch ground (DOOR position),interior lamp switch DOOR contact,RY,"door switches H-07 (RH) and H-08 (LH) via X-03, and control processing unit X-16",S-001,PDF p.26 (H-06),Terminal is on the mirror assembly connector H-06 (PT957); from S-001; confirm on the car,
